SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
66,0.907265761325188,0.830271194234249,85,95,74,21,11
67,0.950428664754321,0.905539845494969,92,92,77,15,15
68,0.925812820338258,0.861872900614763,103,102,92,10,11
69,0.782001040402289,0.642037527405256,102,95,78,17,24
70,0.787406387024174,0.649357194857559,86,72,59,13,27
71,0.796285548461985,0.66152362584378,91,81,65,16,26
72,0.745853217902907,0.594709669194977,97,80,63,17,34
73,0.920969487692975,0.853515704318586,133,109,101,8,32
74,0.915973318031846,0.844973037350713,128,113,94,19,34
75,0.929818939272552,0.868842641113939,138,115,102,13,36
76,0.906651822173717,0.829243456532079,135,138,113,25,22
77,0.915231046706885,0.843710583648664,136,143,117,26,19
78,0.847249257248233,0.73498044792037,183,166,131,35,52
79,0.872152622018302,0.773289577158067,213,176,153,23,60
80,0.850285553126983,0.739562380415052,98,102,64,38,34
81,0.848651672489229,0.737093764077483,175,149,104,45,71
82,0.926211145758472,0.862563568340166,119,118,99,19,20
83,0.805209080649289,0.673933043521009,133,114,90,24,43
84,0.857317221063832,0.75026703549518,131,133,101,32,30
85,0.806613929111868,0.675903589616709,167,110,92,18,75
86,0.783342179398195,0.643847568423737,149,123,92,31,57
87,0.968288461176648,0.938526346502786,67,66,60,6,7
88,0.967494989593772,0.937036604997317,63,64,55,9,8
89,0.971211430013492,0.944034039983773,66,65,62,3,4
90,0.972314349347757,0.946120390734907,66,64,61,3,5
91,0.966873164648618,0.935870729095688,72,73,68,5,4
92,0.960094164497496,0.923251059586138,71,71,63,8,8
93,0.938184330429579,0.883566100328073,66,67,62,5,4
94,0.937734018842451,0.882767626447571,68,74,63,11,5
95,0.955437167687958,0.914676588265339,65,67,60,7,5
96,0.928020491340781,0.865707304891962,68,84,64,20,4
97,0.958745727372599,0.920760425744416,65,72,61,11,4
98,0.949592377958943,0.904022741299022,60,65,56,9,4
99,0.97663943846249,0.95434539415431,37,37,35,2,2
100,0.966655251516417,0.935462490069232,47,49,41,8,6
101,0.978011361271341,0.956968917470525,34,38,34,4,0
102,0.971319242477012,0.944237787451084,41,46,39,7,2
103,0.935623473684478,0.879034299002497,61,71,53,18,8
104,0.930813038914965,0.870580237875662,67,76,60,16,7
105,0.912698522056169,0.839416243397508,72,75,62,13,10
106,0.942498544188525,0.891250351485612,58,61,52,9,6
107,0.972819432148335,0.947077332452827,56,60,52,8,4
108,0.969029720440384,0.939920131213007,54,52,47,5,7
109,0.975170916148994,0.951544927359583,52,49,47,2,5
110,0.974282089164805,0.949853832981713,54,52,48,4,6
111,0.955998156990869,0.915705430399807,102,104,92,12,10
112,0.959454346165019,0.922068476888933,89,88,79,9,10
113,0.963238974473055,0.929084862139255,76,79,70,9,6
114,0.97082556267303,0.943305165249258,60,62,55,7,5
115,0.902593690357875,0.822479042108131,149,127,109,18,40
116,0.92922676453017,0.867809106306665,115,103,90,13,25
117,0.931423176953086,0.871648305357446,109,103,95,8,14
118,0.7833211894582,0.643819209039548,83,81,64,17,19
119,0.901716879207195,0.821024071239738,153,138,123,15,30
120,0.875356299960104,0.778340998068145,131,109,94,15,37
121,0.973529108568304,0.948423493247285,58,53,53,0,5
122,0.972603250161856,0.946667633818269,56,54,50,4,6
123,0.976537921633589,0.954151543350077,51,51,49,2,2
124,0.972084761107991,0.945685718363124,55,54,52,2,3
125,0.943105515744839,0.89233649129079,64,77,61,16,3
126,0.967197191950457,0.936478081209923,62,68,58,10,4
127,0.917498866957351,0.847573123899171,68,69,59,10,9
128,0.96205425802717,0.926882995057707,68,71,60,11,8
129,0.955375165774475,0.914562945923818,122,112,109,3,13
130,0.959700839596737,0.922523900937031,108,103,97,6,11
131,0.962084501401682,0.926939141674786,115,105,104,1,11
132,0.962409861141461,0.92754337680986,105,99,94,5,11
133,0.961863778741737,0.926529446757882,79,79,74,5,5
134,0.958595683110424,0.920483684927981,81,79,70,9,11
135,0.969086314115609,0.940026626268191,81,77,74,3,7
136,0.962131194782356,0.927025834041321,86,87,80,7,6
