SampleIndex,Dice,Jaccard,GT_Count,Pred_Count,TP,FP,FN
73,0.890106471669079,0.801974647971539,213,180,162,18,51
74,0.962708964744228,0.928099185304196,93,94,89,5,4
75,0.977683181157799,0.956340699026208,53,53,51,2,2
76,0.964967945995373,0.932307306099198,53,59,47,12,6
77,0.9291587718178,0.867690510380412,135,147,124,23,11
78,0.977667103296012,0.956309932359626,51,49,48,1,3
79,0.973046502618302,0.947507852204763,41,39,36,3,5
80,0.959750831314606,0.922616292524879,73,82,69,13,4
81,0.909136857914422,0.833410556136565,99,94,82,12,17
82,0.968501244089336,0.938926235770678,71,75,67,8,4
83,0.828655166309329,0.707439126784215,6,25,4,21,2
84,0.860719854802014,0.755494474673248,52,83,46,37,6
85,0.907293794425822,0.830318149377648,135,153,115,38,20
86,0.973878623381848,0.949087160226129,56,58,52,6,4
87,0.768450204940733,0.623970064404706,24,25,17,8,7
88,0.952432646070746,0.909185115876633,116,112,102,10,14
89,0.894413910818637,0.808995264657238,145,154,129,25,16
90,0.957650025310652,0.918741352294906,88,83,75,8,13
91,0.910088148873653,0.835010783608914,97,81,73,8,24
92,0.968748183878654,0.93939052395779,67,68,64,4,3
93,0.976214150186091,0.953533544503994,50,49,48,1,2
94,0.969014891321256,0.939892228475632,70,76,68,8,2
95,0.949666083401418,0.904156352940436,62,65,59,6,3
96,0.657644070487379,0.489917804979008,24,43,20,23,4
97,0.967312257229176,0.936693849617854,78,79,73,6,5
98,0.964453507572496,0.931347375154201,64,63,57,6,7
99,0.667033958779331,0.500413317482936,31,83,31,52,0
100,0.956597047294153,0.916805003103948,121,114,109,5,12
101,0.906671497046037,0.829276374480667,123,133,107,26,16
102,0.92859366343947,0.866705405551808,143,141,121,20,22
103,0.864959280727687,0.762051322072588,182,183,146,37,36
104,0.949722240022083,0.904258165042028,96,99,83,16,13
105,0.974790590091385,0.950820954889866,58,53,53,0,5
106,0.949825648457209,0.904445673293999,78,70,66,4,12
107,0.969423997529212,0.940662304580191,67,63,60,3,7
108,0.943260395945818,0.892613840086052,54,63,49,14,5
109,0.741109502370138,0.58870052936728,57,79,47,32,10
110,0.877409349155202,0.78159331586711,231,174,145,29,86
111,0.919340448548518,0.850721623950588,165,168,140,28,25
112,0.97248124037633,0.946436482320287,64,61,60,1,4
113,0.885097560413739,0.793878934144406,145,131,102,29,43
